# Bornomala Bangla phonetic-key index: ambiguity-collapsed key -> Bangla words.
# Generated by scripts/gen_bn_phonetic.py from bn_frequency.txt; do not hand-edit.
# The key algorithm is BanglaPhoneticKey.banglaKey; BanglaPhoneticKeyTest re-derives
# every line below with the Kotlin implementation so the two cannot drift.
a	আ আঃ
bd	বোধ বদ্ধ বদ বড্ড বধ
bdan	অবদান
bdhy	বোধহয়
bdi	বডি বোধি
bdir	বধির
bdka	ভদকা
bdl	বদল
bdla	বদলা বদলাও
bdlabe	বদলাবে
bdlan	বদলানো
bdlanr	বদলানোর
bdlate	বদলাতে
bdlay	বদলায়
bdle	বদলে
bdlece	বদলেছে
bdli	বদলি
bdmais	বদমাইশ
bdmas	বদমাশ
bdmaser	বদমাশের
bdnam	বদনাম
bdr	ভদ্র অভদ্র
bdrbabe	ভদ্রভাবে
bdrlk	ভদ্রলোক
bdrlker	ভদ্রলোকের
bdrmhdygn	ভদ্রমহোদয়গণ
bdrmhila	ভদ্রমহিলা
bdrta	ভদ্রতা
be	বে ওয়ে
beaini	বেআইনি
beb	ভেবো
bebe	ভেবে
bebec	ভেবেছ ভেবেছো
bebece	ভেবেছে
bebecen	ভেবেছেন
bebeci	ভেবেছি
bebecil	ভেবেছিল ভেবেছিলো
bebecilam	ভেবেছিলাম
bebecile	ভেবেছিলে
bebecilen	ভেবেছিলেন
bebecis	ভেবেছিস
bebei	ভেবেই
bebi	বেবি বেবী
bebna	ভেবোনা
bebsait	ওয়েবসাইট
becara	বেচারা
becari	বেচারি
bece	বেঁচে বেছে বেচে বেচেঁ বেঁছে
becte	বেচতে
bed	ভেদ
bedalam	ভেদালাম
bede	বেঁধে বেধে
bedna	বেদনা
bedprd	বেডফোর্ড
bedrume	বেডরুমে
bedrumer	বেডরুমের
begas	ভেগাস
begase	ভেগাসে
bege	ভেগে বেগে
begm	বেগম
beguni	বেগুনী
behala	বেহালা
behuda	বেহুদা
behus	বেহুঁশ
beili	বেইলী
beiman	বেঈমান
beimani	বেঈমানি
beimyaks	বেইম্যাক্স
beja	ভেজা
bejal	ভেজাল
beje	বেজে
bejnma	বেজন্মা
bek	বেক
bekar	বেকার
beki	বেকি
bekub	বেকুব
bel	ওয়েল বেল
bela	বেলা বেলাঃ
belar	বেলার
belay	বেলায়
belikp	বেলিকফ
belkam	ওয়েলকাম
belr	বেলর
bels	ওয়েলস
belt	বেল্ট
belun	বেলুন
ben	ওয়েন বেন ভেন
benas	ভেনাস
benedikt	বেনেডিক্ট
benge	ভেঙ্গে ভেঙে
bengece	ভেঙ্গেছে ভেঙেছে
bengeci	ভেঙ্গেছি
bengl	বেঙ্গল
beni	বেনি
benin	বেনিন
benjamin	বেঞ্জামিন
benji	বেঞ্জি বেনজি
beprya	বেপরোয়া
ber	বের বেরোও
bera	বেড়া ভেড়া
berabe	বেড়াবে
berace	বেড়াচ্ছে
beraci	বেড়াচ্ছি
berai	বেড়াই
berar	ভেড়ার
berate	বেড়াতে
beray	বেড়ায়
bere	বেড়ে
berece	বেড়েছে
berei	বেড়েই
beri	বেরি
beriye	বেরিয়ে বেড়িয়ে
beriyece	বেরিয়েছে
berte	বেরোতে
berute	বেরুতে
bes	বেশ বেস
besamrik	বেসামরিক
besbl	বেসবল
bese	ভেসে বেসে
besi	বেশি বেশী
besidin	বেশিদিন
besii	বেশিই
besikicu	বেশিকিছু
besikn	বেশিক্ষণ
besiksn	বেশিক্ষণ
besir	বেশির
besirbag	বেশিরভাগ বেশীরভাগ
besirbagi	বেশিরভাগই
best	বেস্ট ওয়েস্ট
bestarn	ওয়েস্টার্ন
beste	ভেস্তে
bestni	বেষ্টনী
besya	বেশ্যা
besyar	বেশ্যার
bet	ওয়েট
beta	বেটা
betar	ওয়েটার
betn	বেতন
betner	বেতনের
betr	ভেতর
betre	ভেতরে
betrei	ভেতরেই
betrer	ভেতরের
betrta	ভেতরটা
beyadb	বেয়াদব
beyadbi	বেয়াদবি
beyar	বেয়ার
beye	বেয়ে
bg	ভোগ
bga	অবজ্ঞা
bgart	বোগার্ট
bgban	ভগবান
bgbaner	ভগবানের
bgbanke	ভগবানকে
bge	ভোগে
bgi	বগি
bgite	বগিতে
bgt	অবগত
bgya	অবজ্ঞা
bhal	বহাল
bhela	অবহেলা
bhiskar	বহিষ্কার বহিস্কার
bhit	অবহিত
bhn	বহন
bhner	বহনের
bhr	বহর
bhu	বহু
bhudin	বহুদিন
bhut	বহুত
bi	বই বি ভি ভী
bibabk	অভিভাবক
bibadi	বিবাদী
bibadn	অভিবাদন
bibag	বিভাগ
bibage	বিভাগে
bibager	বিভাগের
bibah	বিবাহ
bibaher	বিবাহের
bibahit	বিবাহিত অবিবাহিত
bibecna	বিবেচনা
bibek	বিবেক
bibi	বিবি
bibin	বিভিন্ন
bibkt	বিভক্ত
bibp	বিবপ
bibrant	বিভ্রান্ত
bibriti	বিবৃতি
bibrm	বিভ্রম
bibrn	বিবরণ
bibrt	বিব্রত
bibrtn	বিবর্তন
bibrtner	বিবর্তনের
bibut	অভিভূত
bic	বিচ
bicana	বিছানা
bicanar	বিছানার
bicanay	বিছানায়
bicar	বিচার অবিচার
bicarer	বিচারের
bicark	বিচারক
bicarker	বিচারকের
bicarpti	বিচারপতি
bice	বইছে
biced	বিচ্ছেদ
bici	বিচি
bicin	বিচ্ছিন্ন
biclit	বিচলিত
bid	অবৈধ বৈধ
